Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,Medicine,Dosage_Info_Medicine,Duration_Medicine,Notes_Medicine,Diet_For_Recovery,Dosage_Info_Diet,Duration_Diet,Notes_Diet,Vaccination_Name,Age_To_Give,Type,Duration_Vaccine,Notes_Vaccine
Cat,Siamese,3,Female,5,Lethargy,Eye Discharge,Vomiting,Fever,5 days,Yes,Yes,No,No,No,No,Yes,No,No,39.0°C,130,Panleukopenia,"Antibiotics, Fluids, Anti-nausea medication",As directed by veterinarian,5-7 days,Intensive supportive care required,"Highly digestible, high-calorie diet","Small, frequent meals (4-6 times daily)",2-3 weeks,May need assisted feeding or appetite stimulants,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all kittens, protects against multiple diseases including panleukopenia"
Dog,Poodle,2,Female,12,Lethargy,Appetite Loss,Coughing,Vomiting,4 days,Yes,Yes,No,Yes,No,No,No,No,No,39.4°C,115,Kennel Cough,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-10 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Bengal,1,Male,4.2,Vomiting,Diarrhea,Lethargy,Appetite Loss,3 days,Yes,Yes,Yes,No,No,No,No,No,No,38.8°C,140,Panleukopenia,"Antibiotics, Fluids, Anti-nausea medication",As directed by veterinarian,5-7 days,Intensive supportive care required,"Highly digestible, high-calorie diet","Small, frequent meals (4-6 times daily)",2-3 weeks,May need assisted feeding or appetite stimulants,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all kittens, protects against multiple diseases including panleukopenia"
Horse,Arabian,8,Female,490,Lameness,Fever,Coughing,Nasal Discharge,1 week,Yes,No,No,Yes,No,Yes,No,Yes,No,39.9°C,75,Strangles,"Antibiotics, Anti-inflammatories",As directed by veterinarian,10-14 days,Isolation from other horses required,"Soft, easy-to-swallow feed, warm mash","Small, frequent meals",2-3 weeks,May need assisted feeding if swallowing is difficult,Strangles Vaccine,"4-6 months, with booster 4-6 weeks later",Non-core,Annual or biannual,Recommended for horses in high-risk environments
Cow,Hereford,5,Male,650,Fever,Lethargy,Decreased Milk Yield,Appetite Loss,5 days,Yes,No,No,No,No,No,No,No,No,39.7°C,80,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Dog,Chihuahua,4,Female,3.5,Lethargy,Vomiting,Diarrhea,Coughing,2 days,Yes,Yes,Yes,Yes,No,No,No,No,No,39.1°C,130,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Ragdoll,3,Male,5,Skin Lesions,Appetite Loss,Lethargy,Vomiting,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.6°C,155,Ringworm,"Itraconazole, Lime sulfur dips",5-10 mg/kg daily,4-6 weeks,Environmental decontamination essential,Regular diet with immune-boosting supplements,Normal feeding schedule,1-2 weeks,Maintain hygiene to prevent spread,No vaccine available,N/A,N/A,N/A,Prevent via hygiene and environmental management
Dog,Siberian Husky,6,Male,28,Lameness,Fever,Skin Lesions,Lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,120,Tick-Borne Disease,"Doxycycline, Imidocarb dipropionate",10 mg/kg daily,28 days,Tick prevention essential during treatment,Regular diet with immune-boosting supplements,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Lyme Vaccine,"9 weeks, with booster 2-4 weeks later",Non-core,Annual,Recommended for dogs in high-risk areas with ticks
Horse,Clydesdale,10,Male,700,Coughing,Nasal Discharge,Labored Breathing,Fever,2 weeks,Yes,No,No,Yes,Yes,No,No,Yes,No,40.2°C,85,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Cat,British Shorthair,5,Female,4.8,Lethargy,Eye Discharge,Appetite Loss,Nasal Discharge,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.0°C,150,Upper Respiratory Infection,"Doxycycline, Clavamox",10 mg/kg once daily,7 days,Maintain warmth and hydration,"Warm soft food, high-calorie paste",2–3 times daily,1 week,Easy to chew and swallow,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against multiple viruses
Cow,Angus,3,Female,590,Decreased Milk Yield,Fever,Appetite Loss,Lethargy,7 days,Yes,No,No,No,No,No,No,No,No,39.5°C,70,Mastitis,"Intramammary antibiotics, Anti-inflammatories",As directed by veterinarian,3-5 days,Frequent milking of affected quarters,"High-quality forage, vitamin supplements",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,J-5 Bacterin,Pre-calving,Non-core,Annual,Helps reduce severity of coliform mastitis
Horse,Arabian,7,Male,450,Lethargy,Appetite Loss,Fever,Labored Breathing,5 days,Yes,No,No,Yes,Yes,No,No,No,No,39.7°C,90,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Dog,Poodle,2,Female,8,Coughing,Nasal Discharge,Appetite Loss,Lethargy,4 days,Yes,No,No,Yes,No,No,No,Yes,No,39.1°C,125,Kennel Cough,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-10 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Bengal,3,Male,5.5,Lethargy,Vomiting,Diarrhea,Dehydration,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.3°C,140,Panleukopenia,"Antibiotics, Fluids, Anti-nausea medication",As directed by veterinarian,5-7 days,Intensive supportive care required,"Highly digestible, high-calorie diet","Small, frequent meals (4-6 times daily)",2-3 weeks,May need assisted feeding or appetite stimulants,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all kittens, protects against multiple diseases including panleukopenia"
Cow,Angus,5,Female,700,Fever,Decreased Milk Yield,Lethargy,Nasal Discharge,7 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.8°C,80,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Dog,Golden Retriever,4,Male,30,Lameness,Swelling,Appetite Loss,Fever,10 days,Yes,No,No,No,No,Yes,No,No,No,39.5°C,110,Arthritis,"NSAIDs, Joint supplements",As directed by veterinarian,Long-term management,Regular monitoring of liver and kidney function,Weight management diet with joint supplements,Controlled portions,Long-term management,Omega-3 fatty acids and glucosamine/chondroitin supplements,No vaccine available,N/A,N/A,N/A,"Management through medication, weight control, and exercise"
Cat,Russian Blue,2,Female,4.5,Coughing,Nasal Discharge,Eye Discharge,Sneezing,5 days,No,No,No,Yes,No,No,No,Yes,Yes,38.8°C,150,Feline Herpesvirus,"L-lysine, Famciclovir",500 mg twice daily,7-14 days,Supportive care for symptoms,"Highly palatable, aromatic food","Small, frequent meals",2-3 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including herpesvirus
Horse,Quarter Horse,9,Female,480,Coughing,Nasal Discharge,Fever,Labored Breathing,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.9°C,85,Equine Rhinopneumonitis,"NSAIDs, Antiviral medication",As directed by veterinarian,7-14 days,Rest and isolation from other horses,"High-quality hay, bran mash, electrolytes","Small, frequent meals",2-3 weeks,Ensure adequate hydration,EHV Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6 months,Protects against equine herpesvirus
Dog,Chihuahua,1,Male,3,Vomiting,Diarrhea,Lethargy,Fever,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,135,Parvovirus,"Parvaid, Electrolytes, Antibiotics",5 ml twice daily,5–7 days,"Supportive care, hydration","Boiled chicken, rice, electrolyte water",3 times daily,1 week,"Small portions, frequently",Canine Parvo Vaccine,6–8 weeks,Core,Annual booster,Essential for puppies
Cat,Ragdoll,6,Male,6,Appetite Loss,Weight Loss,Vomiting,Lethargy,2 weeks,Yes,Yes,No,No,No,No,Yes,No,No,39.0°C,160,Feline Leukemia,"Interferon, Supportive care",As directed by veterinarian,Ongoing management,Treatment focuses on symptoms and quality of life,"High-quality, nutrient-dense diet","Small, frequent meals",2-3 weeks,Immune-boosting supplements recommended,FeLV Vaccine,"8-9 weeks, with booster 3-4 weeks later",Non-core,Annual,Recommended for outdoor cats or multi-cat households
Cow,Hereford,3,Female,650,Lethargy,Fever,Decreased Milk Yield,Nasal Discharge,8 days,Yes,No,No,Yes,No,No,No,No,No,39.6°C,75,Mastitis,"Intramammary antibiotics, Anti-inflammatories",As directed by veterinarian,3-5 days,Frequent milking of affected quarters,"High-quality forage, vitamin supplements",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,J-5 Bacterin,Pre-calving,Non-core,Annual,Helps reduce severity of coliform mastitis
Dog,German Shepherd,5,Male,30,Lethargy,Labored Breathing,Coughing,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.6°C,125,Heartworm Disease,"Melarsomine, Doxycycline, Heartworm preventatives",As directed by veterinarian,60-90 days,Strict rest required during treatment,"Low-sodium, easily digestible diet","Small, frequent meals",1-2 weeks,Strict rest required during treatment,No vaccine available,N/A,N/A,N/A,Prevention through monthly medication is essential
Cat,Maine Coon,6,Female,7.5,Appetite Loss,Vomiting,Diarrhea,Skin Lesions,4 days,Yes,Yes,Yes,No,No,Yes,No,No,No,38.9°C,145,Feline Infectious Peritonitis,"GS-441524, Anti-inflammatories",4-10 mg/kg daily,84 days,Emerging treatment with promising results,"High-quality, nutrient-dense diet","Small, frequent meals",2-3 weeks,Appetite stimulants may be needed,FIP Vaccine,"16 weeks, with booster 3-4 weeks later",Non-core,Annual,"Limited efficacy, discuss with veterinarian"
Horse,Thoroughbred,9,Male,500,Nasal Discharge,Coughing,Labored Breathing,Lethargy,10 days,No,No,No,Yes,Yes,No,No,Yes,No,40.0°C,78,Equine Viral Arteritis,"NSAIDs, Supportive care",As directed by veterinarian,7-14 days,Rest and isolation from other horses,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,EVA Vaccine,6-12 months,Non-core,Annual,Recommended for breeding horses or those in contact with breeding horses
Cow,Holstein,4,Female,580,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,7 days,Yes,No,Yes,No,No,No,No,No,No,39.4°C,82,Johne's Disease,No effective treatment,Supportive care only,Ongoing management,Focus on preventing spread to other animals,"High-quality, easily digestible feed","Small, frequent meals",2-3 weeks,Vitamin and mineral supplements,Silirum Vaccine,Under 35 days of age,Non-core,One-time,"Limited availability, used in high-risk herds"
Dog,Beagle,2,Female,9,Fever,Vomiting,Lethargy,Skin Lesions,3 days,Yes,Yes,No,No,No,Yes,Yes,No,No,39.2°C,132,Canine Distemper,"Antibiotics, Anticonvulsants, Supportive care",As directed by veterinarian,2-4 weeks,Treat secondary infections and symptoms,"High-calorie, easily digestible diet","Small, frequent meals",2-3 weeks,May need assisted feeding if appetite is poor,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including distemper"
Cat,Persian,8,Male,4.6,Appetite Loss,Vomiting,Eye Discharge,Lethargy,2 days,No,Yes,No,No,No,No,Yes,No,Yes,39.0°C,140,Conjunctivitis,"Ophthalmic antibiotics, Antiviral eye drops",1-2 drops 3-4 times daily,7-14 days,Keep eyes clean and free of discharge,Regular diet with vitamin A supplements,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against viruses that can cause conjunctivitis
Horse,Appaloosa,6,Female,520,Lameness,Fever,Skin Lesions,Appetite Loss,5 days,No,No,No,No,No,Yes,Yes,No,No,39.8°C,76,Equine Piroplasmosis,"Imidocarb dipropionate, Supportive care",As directed by veterinarian,7-14 days,Tick control essential during treatment,"High-quality hay, vitamin and mineral supplements",Normal feeding schedule,2-3 weeks,Iron supplements may be beneficial,No vaccine available in many countries,N/A,N/A,N/A,Prevention through tick control
Cow,Jersey,3,Male,620,Diarrhea,Lethargy,Appetite Loss,Decreased Milk Yield,8 days,Yes,No,Yes,No,No,No,No,No,No,39.7°C,79,Salmonellosis,"Antibiotics, Fluid therapy",As directed by veterinarian,5-7 days,Isolation and hygiene essential,"Electrolyte solution, high-quality forage","Small, frequent meals",2-3 weeks,Ensure adequate hydration,Salmonella Vaccine,"Pre-calving, with booster 2-3 weeks later",Non-core,Annual,Recommended for herds with history of salmonellosis
Dog,Dachshund,7,Male,5.5,Coughing,Labored Breathing,Lethargy,Appetite Loss,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,39.5°C,120,Chronic Bronchitis,"Bronchodilators, Corticosteroids",As directed by veterinarian,Long-term management,Avoid exposure to irritants like smoke,Weight management diet if overweight,Controlled portions,Long-term management,Weight control is essential for respiratory health,No specific vaccine,N/A,N/A,N/A,Management through medication and environmental controls
Cat,Sphynx,4,Female,3.2,Eye Discharge,Nasal Discharge,Appetite Loss,Lethargy,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,150,Feline Upper Respiratory Infection,Appropriate antibiotics and supportive medication for Feline Upper Respiratory Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Warm soft food, high-calorie paste",2-3 times daily,1-2 weeks,Easy to chew and swallow,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against multiple viruses causing respiratory infections
Dog,Golden Retriever,4,Female,28,Lethargy,Vomiting,Diarrhea,Loss of Appetite,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.2°C,130,Parvovirus,"Parvaid, Electrolytes, Antibiotics",5 ml twice daily,5–7 days,"Supportive care, hydration","Boiled chicken, rice, electrolyte water",3 times daily,1 week,"Small portions, frequently",Canine Parvo Vaccine,6–8 weeks,Core,Annual booster,Essential for puppies
Cat,British Shorthair,3,Male,5.5,Appetite Loss,Coughing,Nasal Discharge,Eye Discharge,4 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.7°C,145,Feline Upper Respiratory Infection,Appropriate antibiotics and supportive medication for Feline Upper Respiratory Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Warm soft food, high-calorie paste",2-3 times daily,1-2 weeks,Easy to chew and swallow,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against multiple viruses causing respiratory infections
Horse,Arabian,10,Female,450,Lameness,Fever,Swollen Joints,Lethargy,8 days,No,No,No,Yes,Yes,No,No,No,No,39.4°C,75,Equine Arthritis,"NSAIDs, Joint supplements",As directed by veterinarian,Long-term management,Regular monitoring and adjusted exercise,Weight management diet with joint supplements,Controlled portions,Long-term management,Omega-3 fatty acids and glucosamine/chondroitin supplements,No vaccine available,N/A,N/A,N/A,Management through medication and exercise
Cow,Angus,6,Male,600,Coughing,Nasal Discharge,Labored Breathing,Fever,7 days,No,No,No,Yes,Yes,No,No,No,No,39.9°C,82,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Dog,Bulldog,5,Male,22,Vomiting,Appetite Loss,Fever,Diarrhea,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,39.6°C,138,Gastroenteritis,"Metronidazole, Fluids",15 mg/kg twice daily,3–5 days,Give probiotics too,"Bland diet (rice, boiled meat), probiotics",2–3 times daily,5–7 days,Hydration is critical,Not applicable,N/A,N/A,N/A,Preventive hygiene only
Cat,Siamese,2,Female,4,Sneezing,Eye Discharge,Appetite Loss,Lethargy,2 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,135,Feline Herpesvirus,"L-lysine, Famciclovir",500 mg twice daily,7-14 days,Supportive care for symptoms,"Highly palatable, aromatic food","Small, frequent meals",2-3 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including herpesvirus
Horse,Quarter Horse,12,Male,500,Lameness,Fever,Swollen Joints,Reduced Appetite,5 days,No,No,No,Yes,No,Yes,No,No,No,39.7°C,78,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Hereford,3,Female,570,Lethargy,Diarrhea,Appetite Loss,Dehydration,6 days,Yes,No,No,No,No,Yes,No,No,No,39.1°C,80,Bovine Viral Diarrhea,"Antibiotics for secondary infections, Supportive care",As directed by veterinarian,5-10 days,Isolation of infected animals,"Electrolyte solution, high-quality forage","Small, frequent meals",1-2 weeks,Ensure adequate hydration,BVD Vaccine,"2-4 months, with booster 2-4 weeks later",Core,Annual,Essential for breeding cattle
Dog,Poodle,8,Male,15,Coughing,Labored Breathing,Lethargy,Appetite Loss,1 week,Yes,No,Yes,No,Yes,No,No,No,Yes,39.3°C,126,Kennel Cough,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-10 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Abyssinian,5,Female,4.5,Vomiting,Diarrhea,Loss of Appetite,Dehydration,3 days,No,Yes,No,Yes,No,Yes,No,Yes,No,38.5°C,142,Pancreatitis,"Pain medication, Anti-nausea drugs",As directed by veterinarian,5-7 days,Fluid therapy often required,"Low-fat, easily digestible diet","Small, frequent meals",2-3 weeks,Gradually transition to regular diet,No vaccine available,N/A,N/A,N/A,Management through diet and medication
Horse,Clydesdale,15,Male,600,Appetite Loss,Lethargy,Labored Breathing,Coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,39.8°C,70,Equine Pneumonia,"Antibiotics, Bronchodilators",As directed by veterinarian,14-21 days,Rest and good ventilation essential,"High-quality hay, bran mash, electrolytes","Small, frequent meals",2-3 weeks,Ensure adequate hydration,Pneumabort-K Vaccine,"5-6 months, with booster 4-6 weeks later",Non-core,Every 6 months,"Primarily for pregnant mares, protects against pneumonia in foals"
Cow,Brahman,7,Female,620,Fever,Coughing,Lethargy,Decreased Milk Yield,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.6°C,81,Mastitis,"Intramammary antibiotics, Anti-inflammatories",As directed by veterinarian,3-5 days,Frequent milking of affected quarters,"High-quality forage, vitamin supplements",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,J-5 Bacterin,Pre-calving,Non-core,Annual,Helps reduce severity of coliform mastitis
Dog,Husky,9,Male,25,Lethargy,Vomiting,Diarrhea,Loss of Appetite,4 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.1°C,124,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Ragdoll,4,Female,5,Eye Discharge,Nasal Discharge,Coughing,Lethargy,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6°C,148,Feline Calicivirus,"Antibiotics, Pain medication",As directed by veterinarian,7-14 days,Supportive care for oral ulcers,"Soft, highly palatable food","Small, frequent meals",2-3 weeks,May need assisted feeding if mouth ulcers present,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including calicivirus
Horse,Morgan,11,Female,520,Lameness,Swollen Joints,Reduced Appetite,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,39.7°C,77,Laminitis,"NSAIDs, Pain management",As directed by veterinarian,Long-term management,Proper hoof care and diet essential,"Low-sugar, low-starch diet","Small, frequent meals",2-3 weeks,"No grain, limited pasture access",No vaccine available,N/A,N/A,N/A,Management through diet and hoof care
Cow,Limousin,2,Male,550,Diarrhea,Lethargy,Appetite Loss,Dehydration,4 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.5°C,85,Cryptosporidiosis,"Halofuginone, Supportive care",As directed by veterinarian,7 days,Focus on hydration and electrolyte balance,"Electrolyte solution, high-quality forage","Small, frequent meals",2-3 weeks,Ensure adequate hydration,No vaccine available,N/A,N/A,N/A,Prevention through management and hygiene
